name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-18810515102848/,16790,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
CX-8,https://www.cars24.com.au/buy-used-mazda-cx-8-car-19494504240000/,31790,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2023,Mazda
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18599807062848/,14490,"120,001 - 140,000",Automatic,Petrol,SUV,20251118,cars24,2019,Volkswagen
Tucson,https://www.cars24.com.au/buy-used-hyundai-tucson-car-16878786225216/,19195,"80,001 - 100,000",Automatic,Diesel,SUV,20251118,cars24,2016,Hyundai
Kluger,https://www.cars24.com.au/buy-used-toyota-kluger-car-18928818307392/,48795,"20,001 - 40,000",Automatic,Hybrid,SUV,20251118,cars24,2022,Toyota
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-18775249770816/,22190,"0 - 20,000",Automatic,Petrol,SUV,20251118,cars24,2023,MG
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19561598686976/,29690,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2023,Mazda
Seltos,https://www.cars24.com.au/buy-used-kia-seltos-car-18916954980864/,26090,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2021,Kia
Qashqai,https://www.cars24.com.au/buy-used-nissan-qashqai-car-18201794074752/,17990,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2018,Nissan
ASX,https://www.cars24.com.au/buy-used-mitsubishi-asx-car-19903648563456/,24790,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2023,Mitsubishi
X-trail,https://www.cars24.com.au/buy-used-nissan-x-trail-car-18552951693376/,22190,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2020,Nissan
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-19006225360768/,17090,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
